Index,Texas,California
Housing,5.3050000000000015,1.5371000000000001
Cost of Living,6.07275,2.466
Startups,7.6165,8.0946
Venture Capital,4.96475,8.258999999999999
Travel Connectivity,3.1545,2.9039
Commute,4.449125,3.2738
Business Freedom,8.671,8.651733333333333
Safety,4.188375000000001,6.809699999999999
Healthcare,6.263583333333333,6.276466666666666
Education,4.6697500000000005,5.991099999999999
Environmental Quality,6.3074375,6.51975
Taxation,4.772,4.5439
Internet Access,7.45825,6.4357
Leisure & Culture,6.9265,5.9178999999999995
Tolerance,5.9193750000000005,8.326400000000001
Outdoors,4.303875,4.6829
